eefa0ca - Darron112, 6 minutes ago : some modify
275221e - Darron112, 7 minutes ago : new export
cea7830 - Darron112, 9 days ago : new notes
a731e4e - Darron112, 9 days ago : new notes
94cdad4 - Darron112, 9 days ago : merge branch 'StartBranch'
7098675 - Darron112, 9 days ago : add some note to project
c135192 - Darron112, 9 days ago : move storage
de4f9b5 - Darron112, 9 days ago : modified storage
ee1f0cf - Darron112, 9 days ago : delete wrong class
833836c - Darron112, 9 days ago : adding ignore file
d003989 - Darron112, 9 days ago : create starting value
e26e520 - Darron112, 9 days ago : Initial commit